,Date,Close,High,Low,Open,Volume
1,11/3/2023,"17,870.57","17,870.57","17,052.42","17,052.42",0
2,10/31/2023,"16,945.82","18,009.98","16,654.05","17,771.28",0
3,9/30/2023,"18,016.75","19,321.73","17,750.70","19,321.73",0
4,8/31/2023,"19,112.31","19,799.03","18,505.48","19,799.03",0
5,7/31/2023,"19,897.21","19,897.21","18,510.10","18,949.99",0
6,6/30/2023,"18,878.28","18,878.28","17,486.62","17,486.62",0
7,5/31/2023,"17,313.92","17,726.17","17,123.76","17,666.71",0
8,4/30/2023,"17,673.09","17,895.14","17,258.96","17,859.29",0
9,3/31/2023,"17,877.48","18,863.95","16,977.56","18,557.57",0
10,2/28/2023,"18,540.87","19,564.41","18,464.55","19,197.97",0
11,1/31/2023,"18,841.83","18,841.83","16,966.33","16,966.33",0
12,12/31/2022,"17,043.13","18,235.65","16,689.85","18,161.06",0
13,11/30/2022,"18,173.08","18,173.08","16,752.55","17,461.24",0
14,10/31/2022,"17,408.15","17,424.23","15,953.63","16,222.63",0
15,9/30/2022,"15,773.68","18,185.68","15,735.57","17,283.41",0
16,8/31/2022,"17,461.35","19,123.76","17,461.35","18,041.62",0
17,7/31/2022,"18,047.30","18,047.30","16,325.60","16,599.42",0
18,6/30/2022,"16,388.43","18,411.95","15,795.85","17,850.25",0
19,5/31/2022,"17,955.79","18,694.81","16,577.83","18,071.59",0
20,4/30/2022,"17,919.58","19,795.16","17,919.58","19,784.35",0
21,3/31/2022,"19,610.39","20,151.25","18,292.98","18,962.83",0
22,2/28/2022,"19,343.58","19,761.93","18,448.39","19,394.76",0
23,1/31/2022,"19,182.46","21,121.10","18,308.11","21,099.84",0
24,12/31/2021,"20,901.22","20,960.18","19,777.67","19,777.67",0
25,11/30/2021,"20,212.69","22,229.32","20,212.69","21,599.66",0
26,10/31/2021,"21,092.54","21,301.42","20,293.42","20,490.62",0
27,9/30/2021,"20,149.37","21,087.52","20,057.67","20,927.03",0
28,8/31/2021,"20,820.13","20,862.98","19,654.61","20,272.37",0
29,7/31/2021,"20,388.13","21,038.72","19,432.44","21,038.72",0
30,6/30/2021,"20,917.86","21,291.33","20,259.96","21,060.45",0
31,5/31/2021,"20,864.49","21,002.05","19,843.63","20,942.70",0
