,Date,Close,High,Low,Open,Volume
1,11/22/2024,"4,455.41","4,580.80","4,427.09","4,526.23",0
2,10/31/2024,"4,522.53","4,748.59","4,522.53","4,748.59",0
3,9/30/2024,"4,770.77","4,837.20","4,545.09","4,698.70",0
4,8/31/2024,"4,708.55","4,708.55","4,234.89","4,488.57",0
5,7/31/2024,"4,566.05","4,610.58","4,416.20","4,416.20",0
6,6/30/2024,"4,409.52","4,531.44","4,372.33","4,519.39",0
7,5/31/2024,"4,490.41","4,535.58","4,302.98","4,302.98",0
8,4/30/2024,"4,320.20","4,427.99","4,233.18","4,399.65",0
9,3/31/2024,"4,435.28","4,435.28","4,315.93","4,315.93",0
10,2/29/2024,"4,281.55","4,293.16","4,143.51","4,188.40",0
11,1/31/2024,"4,218.11","4,218.11","4,064.51","4,210.00",0
12,12/31/2023,"4,209.29","4,217.54","3,979.34","4,000.10",0
13,11/30/2023,"3,984.51","3,984.51","3,679.82","3,679.82",0
14,10/31/2023,"3,641.09","3,819.51","3,627.63","3,745.04",0
15,9/30/2023,"3,806.75","3,947.28","3,778.52","3,938.65",0
16,8/31/2023,"3,942.54","4,055.44","3,832.99","4,055.44",0
17,7/31/2023,"4,096.03","4,096.03","3,864.22","3,972.04",0
18,6/30/2023,"3,958.81","4,024.11","3,835.77","3,835.77",0
19,5/31/2023,"3,784.00","3,975.72","3,784.00","3,940.17",0
20,4/30/2023,"3,946.78","3,955.05","3,826.86","3,866.52",0
21,3/31/2023,"3,838.82","3,838.82","3,611.13","3,767.44",0
22,2/28/2023,"3,762.82","3,915.45","3,729.34","3,875.25",0
23,1/31/2023,"3,855.40","3,870.69","3,589.07","3,589.07",0
24,12/31/2022,"3,569.88","3,682.53","3,548.60","3,668.40",0
25,11/30/2022,"3,575.77","3,622.23","3,198.23","3,258.36",0
26,10/31/2022,"3,233.86","3,263.22","3,041.38","3,106.15",0
27,9/30/2022,"3,071.15","3,470.18","3,054.11","3,309.14",0
28,8/31/2022,"3,396.68","3,627.63","3,396.68","3,593.91",0
29,7/31/2022,"3,558.95","3,558.95","3,267.14","3,357.56",0
30,6/30/2022,"3,381.17","3,746.70","3,342.54","3,713.02",0
31,5/31/2022,"3,737.48","3,782.09","3,486.71","3,663.64",0
32,4/30/2022,"3,711.41","3,980.47","3,657.00","3,956.31",0
33,3/31/2022,"3,973.00","4,013.37","3,604.34","3,864.90",0
34,2/28/2022,"3,926.04","4,115.29","3,793.86","4,036.33",0
35,1/31/2022,"3,985.97","4,229.84","3,940.41","4,176.47",0
36,12/31/2021,"4,189.73","4,189.73","4,009.69","4,054.52",0
37,11/30/2021,"3,990.73","4,269.75","3,990.73","4,238.78",0
38,10/31/2021,"4,190.40","4,226.36","4,012.71","4,053.84",0
39,9/30/2021,"4,080.05","4,289.68","4,077.71","4,235.16",0
40,8/31/2021,"4,199.43","4,221.46","4,095.08","4,168.72",0
41,7/31/2021,"4,121.52","4,156.04","3,991.82","4,095.21",0
