,Date,Close,High,Low,Open,Volume
1,11/22/2024,368.46,371.27,367.63,367.63,0
2,10/31/2024,369.31,379.19,369.31,379.19,0
3,9/30/2024,378.05,379.50,372.28,372.28,0
4,8/31/2024,372.18,373.83,367.10,367.77,0
5,7/31/2024,366.71,366.71,355.76,355.76,0
6,6/30/2024,357.38,360.00,355.17,356.41,0
7,5/31/2024,354.46,356.05,349.09,349.09,0
8,4/30/2024,347.95,354.62,346.62,353.58,0
9,3/31/2024,355.87,356.17,352.43,353.04,0
10,2/29/2024,351.67,358.26,349.65,358.26,0
11,1/31/2024,356.89,356.89,352.44,355.42,0
12,12/31/2023,356.85,358.08,345.22,346.14,0
13,11/30/2023,343.38,344.47,327.91,327.91,0
14,10/31/2023,325.01,330.84,322.72,328.25,0
15,9/30/2023,330.59,337.21,330.15,337.09,0
16,8/31/2023,338.66,339.36,332.37,338.66,0
17,7/31/2023,340.37,342.41,334.26,338.07,0
18,6/30/2023,338.69,340.13,336.52,340.13,0
19,5/31/2023,339.23,344.92,335.26,340.30,0
20,4/30/2023,343.57,344.58,340.16,342.12,0
21,3/31/2023,340.39,340.39,327.39,328.26,0
22,2/28/2023,330.14,343.31,329.26,342.52,0
23,1/31/2023,340.37,341.76,329.19,329.19,0
24,12/31/2022,328.59,335.48,327.59,329.12,0
25,11/30/2022,326.82,328.14,312.87,314.73,0
26,10/31/2022,314.19,321.38,309.11,319.79,0
27,9/30/2022,316.11,332.15,314.09,330.10,0
28,8/31/2022,333.30,343.70,333.30,343.70,0
29,7/31/2022,342.79,342.79,330.66,333.33,0
30,6/30/2022,331.84,339.84,323.99,339.84,0
31,5/31/2022,341.01,341.01,333.33,335.02,0
32,4/30/2022,337.41,352.11,337.41,352.04,0
33,3/31/2022,353.21,367.51,349.05,367.51,0
34,2/28/2022,364.91,371.91,361.42,370.93,0
35,1/31/2022,370.90,378.18,370.80,378.18,0
36,12/31/2021,380.55,382.08,379.58,380.35,0
37,11/30/2021,380.42,384.04,377.17,380.42,0
38,10/31/2021,380.87,383.98,378.77,383.98,0
39,9/30/2021,382.65,387.51,382.63,386.33,0
40,8/31/2021,386.25,388.57,384.12,388.57,0
41,7/31/2021,387.24,387.36,382.03,382.03,0
42,6/30/2021,382.79,382.79,378.02,378.67,0
43,5/31/2021,378.61,379.04,375.20,376.64,0
44,4/30/2021,375.85,377.49,372.75,373.41,0
45,3/31/2021,371.83,378.94,371.07,378.09,0
46,2/28/2021,377.40,384.93,376.59,384.51,0
47,1/31/2021,384.15,386.88,382.87,386.88,0
48,12/31/2020,386.96,386.96,383.34,383.34,0
49,11/30/2020,384.47,384.47,377.27,377.27,0
50,10/31/2020,377.27,379.94,377.21,377.98,0
51,9/30/2020,377.80,380.68,377.24,379.40,0
52,8/31/2020,378.61,381.14,377.01,379.33,0
53,7/31/2020,379.45,379.45,370.89,370.89,0
54,6/30/2020,370.76,370.76,362.78,362.78,0
55,5/31/2020,360.77,360.77,351.32,353.18,0
56,4/30/2020,353.89,353.89,335.96,335.96,0
57,3/31/2020,335.63,369.28,316.05,365.09,0
58,2/29/2020,364.53,364.53,358.46,360.16,0
59,1/31/2020,360.15,360.15,352.90,353.11,0
60,12/31/2019,352.57,352.91,350.27,350.27,0
