,Date,Close,High,Low,Open,Volume
1,11/1/2024,276.70,276.70,276.70,276.70,0
2,10/31/2024,279.47,289.03,279.47,289.03,0
3,9/30/2024,288.10,290.56,284.60,284.60,0
4,8/31/2024,284.53,286.12,282.06,282.06,0
5,7/31/2024,280.82,280.82,271.76,271.76,0
6,6/30/2024,273.46,275.50,270.91,271.72,0
7,5/31/2024,270.18,272.10,266.78,266.78,0
8,4/30/2024,265.81,271.63,265.34,270.98,0
9,3/31/2024,272.88,274.59,270.25,272.43,0
10,2/29/2024,271.17,277.75,269.55,277.75,0
11,1/31/2024,276.20,276.20,272.15,274.93,0
12,12/31/2023,275.76,277.20,268.36,269.26,0
13,11/30/2023,266.89,268.18,259.54,259.54,0
14,10/31/2023,257.01,261.30,255.12,258.97,0
15,9/30/2023,260.70,265.86,259.81,265.81,0
16,8/31/2023,267.04,268.36,262.93,267.01,0
17,7/31/2023,268.27,271.44,265.11,268.23,0
18,6/30/2023,269.08,273.32,268.68,273.32,0
19,5/31/2023,272.62,278.27,269.27,273.32,0
20,4/30/2023,275.93,277.58,272.39,275.00,0
21,3/31/2023,273.79,275.84,262.14,263.09,0
22,2/28/2023,264.80,274.29,263.88,274.29,0
23,1/31/2023,272.48,274.56,266.22,266.22,0
24,12/31/2022,265.33,271.32,264.70,270.03,0
25,11/30/2022,267.49,267.49,257.18,259.45,0
26,10/31/2022,259.53,265.41,256.08,264.80,0
27,9/30/2022,262.20,273.09,259.12,271.40,0
28,8/31/2022,273.64,283.47,273.64,283.47,0
29,7/31/2022,282.86,282.86,273.98,277.83,0
30,6/30/2022,276.15,276.89,266.15,276.39,0
31,5/31/2022,278.31,280.01,273.14,274.52,0
32,4/30/2022,276.44,284.00,275.46,284.00,0
33,3/31/2022,285.56,299.36,282.46,299.36,0
34,2/28/2022,296.30,297.75,291.96,297.15,0
35,1/31/2022,297.39,301.02,296.00,301.02,0
36,12/31/2021,303.17,305.97,302.71,304.60,0
37,11/30/2021,304.49,304.95,300.09,301.94,0
38,10/31/2021,302.07,305.20,300.56,305.20,0
39,9/30/2021,303.60,308.72,303.58,308.28,0
40,8/31/2021,308.32,310.48,306.79,310.48,0
41,7/31/2021,309.16,309.71,303.95,303.95,0
42,6/30/2021,304.54,305.36,302.22,302.65,0
43,5/31/2021,302.92,303.32,300.70,301.91,0
44,4/30/2021,301.25,302.70,299.01,299.70,0
45,3/31/2021,298.65,304.57,298.65,303.75,0
46,2/28/2021,302.92,310.49,302.36,310.49,0
47,1/31/2021,310.14,312.77,308.76,312.77,0
48,12/31/2020,312.70,312.70,311.00,311.27,0
49,11/30/2020,312.93,313.79,310.32,312.13,0
50,10/31/2020,312.11,315.14,312.11,315.14,0
51,9/30/2020,315.18,315.84,314.05,314.98,0
52,8/31/2020,314.58,316.80,313.59,315.96,0
53,7/31/2020,316.22,316.22,313.56,313.56,0
54,6/30/2020,314.11,314.11,309.35,313.69,0
55,5/31/2020,313.08,313.45,311.90,312.57,0
56,4/30/2020,313.07,313.79,310.08,312.63,0
57,3/31/2020,311.84,312.54,300.05,302.95,0
58,2/29/2020,302.01,302.01,291.80,294.09,0
59,1/31/2020,294.20,294.20,287.12,287.12,0
60,12/31/2019,286.63,287.46,285.66,285.96,0
