,Date,Close,High,Low,Open,Volume
1,11/1/2024,476.48,476.48,476.48,476.48,0
2,10/31/2024,476.16,478.90,475.71,478.90,0
3,9/30/2024,478.85,478.85,470.52,471.35,0
4,8/31/2024,471.16,471.16,459.35,463.54,0
5,7/31/2024,463.67,463.67,453.94,453.94,0
6,6/30/2024,454.63,455.23,452.00,452.00,0
7,5/31/2024,450.53,452.12,445.88,445.88,0
8,4/30/2024,445.48,448.85,441.85,448.85,0
9,3/31/2024,449.82,449.82,445.49,445.49,0
10,2/29/2024,444.70,444.70,441.73,444.54,0
11,1/31/2024,443.40,443.84,438.41,441.04,0
12,12/31/2023,443.19,443.37,428.96,428.96,0
13,11/30/2023,427.46,427.69,410.04,410.04,0
14,10/31/2023,408.75,412.14,405.95,411.64,0
15,9/30/2023,413.83,418.92,412.81,418.69,0
16,8/31/2023,418.75,418.75,412.60,416.43,0
17,7/31/2023,417.59,417.59,408.60,411.94,0
18,6/30/2023,411.58,411.83,406.26,406.26,0
19,5/31/2023,405.00,408.31,403.49,408.31,0
20,4/30/2023,408.68,408.68,404.78,406.10,0
21,3/31/2023,404.91,404.91,395.20,399.78,0
22,2/28/2023,400.60,412.58,396.12,407.24,0
23,1/31/2023,405.89,407.54,392.77,392.77,0
24,12/31/2022,390.52,399.87,390.27,396.47,0
25,11/30/2022,393.32,393.32,380.37,385.91,0
26,10/31/2022,385.75,387.32,376.02,377.47,0
27,9/30/2022,375.25,396.56,374.36,388.24,0
28,8/31/2022,390.86,406.99,390.86,401.29,0
29,7/31/2022,400.34,400.34,378.60,378.60,0
30,6/30/2022,377.83,405.18,377.83,405.05,0
31,5/31/2022,405.34,405.52,391.13,401.52,0
32,4/30/2022,404.06,419.25,404.06,418.17,0
33,3/31/2022,419.34,423.70,411.31,423.70,0
34,2/28/2022,423.22,430.02,418.56,428.74,0
35,1/31/2022,427.17,438.84,426.72,438.84,0
36,12/31/2021,439.24,439.46,432.10,432.20,0
37,11/30/2021,430.99,438.68,430.05,435.33,0
38,10/31/2021,435.43,436.18,433.94,436.18,0
39,9/30/2021,436.42,438.40,436.04,436.51,0
40,8/31/2021,436.21,436.21,431.80,433.92,0
41,7/31/2021,433.83,434.11,431.04,432.73,0
42,6/30/2021,432.30,432.30,426.85,426.85,0
43,5/31/2021,426.57,426.82,424.46,425.81,0
44,4/30/2021,425.41,425.41,421.66,421.66,0
45,3/31/2021,420.89,421.43,417.00,421.02,0
46,2/28/2021,420.18,423.09,418.92,418.92,0
47,1/31/2021,418.70,419.96,417.24,417.24,0
48,12/31/2020,417.36,417.36,410.54,410.54,0
49,11/30/2020,409.64,409.64,394.16,394.16,0
50,10/31/2020,394.15,398.77,392.71,392.99,0
51,9/30/2020,392.37,397.62,389.24,396.87,0
52,8/31/2020,396.41,396.41,392.67,393.32,0
53,7/31/2020,392.45,392.45,375.68,375.68,0
54,6/30/2020,374.56,384.30,371.08,371.08,0
55,5/31/2020,369.78,369.78,353.58,354.06,0
56,4/30/2020,355.01,359.89,331.77,335.01,0
57,3/31/2020,339.62,390.11,310.70,385.81,0
58,2/29/2020,383.92,394.80,383.92,390.28,0
59,1/31/2020,389.97,390.81,387.12,387.12,0
60,12/31/2019,386.62,386.62,382.65,382.65,0
