,Date,Close,High,Low,Open,Volume
1,10/31/2024,"24,586.66","25,310.32","24,376.44","24,742.61",0
2,9/30/2024,"24,774.08","24,847.35","23,146.33","24,144.31",0
3,8/31/2024,"24,266.35","24,309.15","22,193.47","23,347.27",0
4,7/31/2024,"23,687.42","24,474.29","23,161.75","23,692.91",0
5,6/30/2024,"23,566.88","23,686.91","22,580.72","22,580.72",0
6,5/31/2024,"22,515.84","22,688.63","21,290.10","21,290.10",0
7,4/30/2024,"21,356.87","22,200.31","21,052.80","22,200.31",0
8,3/31/2024,"22,216.15","22,216.15","21,493.87","21,797.63",0
9,2/29/2024,"21,612.17","21,617.60","20,747.36","20,747.36",0
10,1/31/2024,"20,491.99","20,864.67","19,665.99","20,000.06",0
11,12/31/2023,"20,000.06","20,050.52","19,104.60","19,298.77",0
12,11/30/2023,"19,224.51","19,224.51","17,819.64","17,819.64",0
13,10/31/2023,"17,611.39","18,330.78","17,265.91","17,954.91",0
14,9/30/2023,"17,905.46","18,825.22","17,844.19","18,793.85",0
15,8/31/2023,"18,766.76","18,933.54","18,118.21","18,933.54",0
16,7/31/2023,"18,979.33","18,979.33","18,146.26","18,389.46",0
17,6/30/2023,"18,373.94","18,373.94","17,469.93","17,469.93",0
18,5/31/2023,"17,289.27","17,376.71","16,617.99","17,041.12",0
19,4/30/2023,"17,044.23","17,044.23","16,574.40","16,811.93",0
20,3/31/2023,"16,739.95","16,739.95","15,600.01","15,889.46",0
21,2/28/2023,"15,971.16","16,764.92","15,961.53","16,513.99",0
22,1/31/2023,"16,340.52","16,340.52","15,247.16","15,406.76",0
23,12/31/2022,"15,406.76","16,380.60","15,168.60","16,380.60",0
24,11/30/2022,"16,395.91","16,395.91","14,915.26","15,499.16",0
25,10/31/2022,"15,583.43","15,714.89","14,406.64","14,816.38",0
26,9/30/2022,"14,455.64","16,551.62","14,455.64","15,979.41",0
27,8/31/2022,"15,924.46","17,343.19","15,924.46","16,563.12",0
28,7/31/2022,"16,604.29","16,604.29","15,250.47","15,346.93",0
29,6/30/2022,"15,191.69","16,724.08","14,698.58","16,392.47",0
30,5/31/2022,"16,511.99","17,260.69","15,574.01","16,699.36",0
31,4/30/2022,"16,583.51","18,585.96","16,583.51","18,397.25",0
32,3/31/2022,"18,332.44","18,755.43","16,747.73","17,407.10",0
33,2/28/2022,"17,669.16","18,576.74","17,012.53","18,416.83",0
34,1/31/2022,"18,286.28","19,509.05","17,447.51","19,509.05",0
35,12/31/2021,"19,359.63","19,509.36","18,401.89","18,401.89",0
36,11/30/2021,"18,629.97","19,170.54","18,629.97","18,776.69",0
37,10/31/2021,"18,762.78","18,762.78","17,438.71","17,703.82",0
