"row","response","feat.a","feat.b","feat.c","feat.d","feat.e","feat.f","feat.g","feat.h","feat.i"
1,1,-0.681426939656638,-5.493698087277,"b",0,-0.800614955728158,-4.42760178751984,"z",10.2541988747255,-0.828072869739683
2,1,0.30946753155016,-5.55993256564929,"d",1,-1.15551426557292,-0.799094490661886,"x",9.08474921855368,-1.10969784101608
3,1,5.67612494244737,-4.02697036086499,"b",1,-3.39633058036798,-0.631966496784051,"y",8.75384786419059,-3.41741702194273
4,1,1.21152517427373,-4.1982626992851,"a",1,-1.89456916910324,-16.2732621210578,"y",12.1912950934104,-1.90480055076411
5,1,1.38786320548284,-7.82401416212565,"c",1,4.69698046425975,-22.2088766623162,"z",9.62668644930281,4.71590348421577
6,1,6.14519496064984,-2.43913981642094,"c",0,-0.574830027268099,11.6426085149666,"y",12.3629616190474,-0.521423234739452
7,1,2.38274861796761,-3.62541139602221,"a",0,1.32698378088664,-4.14888056071066,"z",9.22612240985723,1.28761801788485
8,1,-2.7951837038196,-0.375688940277507,"c",1,-0.869052996529457,-2.99486191852155,"x",7.97303763260175,-0.839325671472259
9,0,-1.06055855568058,-2.97220264292335,"b",0,0.719648592322893,-15.5437481463848,"z",12.8931242715486,0.718502789879441
10,1,-0.336985910299874,-4.67043896344299,"b",1,-0.605453617975949,3.06039873448066,"y",9.80301974798892,-0.548610070367146
11,1,4.67224539231838,0.196086720437144,"b",0,2.22784391136291,8.71581435961319,"z",12.434561465873,2.26626786814703
12,1,2.07944148117209,NA,"a",1,-1.50726683426877,6.22296083638722,"y",7.53599304058386,-1.50912329850252
13,0,2.20231435178216,-5.82806772443527,"d",1,-3.9181203373634,-22.1890161820621,"x",10.7158360680945,-3.94830994702892
14,0,1.33204814783536,-3.29645206606686,"c",1,1.2970993662554,-14.3240639890663,"z",9.36859989165909,1.24516778906549
15,1,-0.667523404262225,-4.31687037794823,"a",0,-0.975468052988634,-5.21766718567584,"y",13.9081041116669,-1.01586597325579
16,1,6.36073941040923,-3.71942328016898,"a",1,2.4268151610605,-0.425273604914458,"x",12.6153799871259,2.40912494679558
17,0,2.49355143468772,-3.65868590714678,"a",0,-0.251243467041386,-10.3511081328808,"x",11.1205696888101,-0.29954610944165
18,0,-4.89985146988891,-5.89285069430358,"a",1,2.40748168766621,-12.8683944155522,"x",8.98617855463716,2.40174375464859
19,1,3.10406770469106,-3.57161562963616,"a",0,0.200453919014848,-4.16171250931325,"z",11.9670015794526,0.17902423517103
20,0,-0.418374223183802,-1.37612895528731,"b",0,-1.19805095931954,-13.5411452128602,"y",11.4433937134219,-1.11892833483412
21,1,-2.20347111796054,-4.2461350062022,"c",1,0.951197215639658,10.3480344168348,"x",7.10650788375691,0.995187069234983
22,0,0.346075256025115,-4.24439006604768,"d",1,-1.41847685924294,-20.6039631991987,"x",12.3759424064752,-1.39814567898897
23,1,-2.07801334492172,-1.9021419904938,"a",NA,2.86951846250787,-1.92966234079909,"z",11.7140118102612,2.84717876827775
24,0,-1.18667368787342,-2.65240563897558,"d",1,-0.206831966392982,-21.9706176538413,"z",9.62485948533262,-0.126157808279307
25,0,-0.87511780354777,-6.47274222757193,"b",0,-4.55971418585918,-9.95458333750333,"z",14.6239629174758,-4.57086117932396
26,1,-4.06007993222724,-3.65716454010672,"b",1,-1.44434016021206,5.87469827326095,"x",11.9056969470027,-1.44581470899991
27,1,3.51336113348357,-1.5196791479834,"d",0,-3.76474385357408,2.97414859457151,"y",8.97214031585304,-3.84195286871376
28,0,1.46011935350955,-1.87708547512129,"a",0,-4.85671061218921,-17.1988851847994,"z",11.8622816076486,-4.81292796195965
29,0,-2.41441081103584,-3.37007259427866,"a",0,-0.381582697824783,-17.8087842903564,"x",10.8185968587184,-0.383773570092752
30,0,4.76144476320978,-2.91816878933066,"c",1,0.795721273395273,-5.53515328207381,"y",9.65010881110858,0.755100221415634
31,0,2.27939266443044,-5.79540281828303,"a",0,-2.02285377733063,-13.6238131099701,"y",3.47570133121718,-2.02316292395017
32,1,0.114785551023187,-3.54980264967794,"a",1,-3.15768465224788,-2.75383908137076,"x",9.13681443648328,-3.1145937365432
33,0,3.68537698313507,-5.43167340278173,"d",1,-1.70406149445673,-13.8715078711616,"y",10.0485793826919,-1.70079506757895
34,0,3.63440046259913,-4.68702710214542,"d",1,-3.60105054470097,-18.8809841277591,"z",11.4467900110999,-3.58891453416283
35,0,3.46474324491246,-2.5965944743306,"c",0,0.906003590300141,-9.44135014317461,"y",10.7052639004801,0.948395329529351
36,0,3.06592076230027,-5.70533966753671,"a",0,0.649006010216615,-15.7936850623737,"x",10.4534915473439,0.612328904384005
37,1,2.66175296061277,-3.59962262369041,"a",0,-3.69058301913243,2.69313573857682,"y",13.0264210365401,-3.70055430224499
38,0,0.814264868269835,-3.35750194079268,"d",1,-1.74813772314141,-8.67844464304914,"y",9.89421725225651,-1.72052535990383
39,0,0.0821120087802497,-3.91763204524056,"c",1,1.59443211017922,-6.30272563120041,"z",7.88863805045289,1.53862685619014
40,0,-0.141413003037148,-1.26671676724688,"b",0,-0.836118470656149,5.04473063913976,"y",8.99294530435551,-0.788228032033255
41,1,-1.08412093676154,-5.53352099286287,"b",1,-0.480968215070233,8.86256993933534,"z",9.63146217125197,-0.524082942412229
42,0,0.376248165941204,-3.0908046078466,"b",1,0.334480447956006,-6.42360174250016,"y",8.85062995090322,0.345229476903682
43,1,-2.79618905470479,-4.133395851176,"c",0,0.753668393361538,-3.33331039376015,"y",6.27076590647216,0.760760555379673
44,1,7.50686789601554,-4.39124836575089,"c",1,1.91248627741718,4.47278145629125,"z",11.1909157268874,1.88871442661718
45,1,4.62388599491497,NA,"a",1,1.04513073722725,-7.3956979587732,"z",11.5830634963727,1.05378518825973
