"age","job","marital","education","default","balance","housing","loan","contact","day","month","duration","campaign","pdays","previous","poutcome","y"
20,"student","single","secondary","no",502,"no","no","cellular",30,"apr",261,1,-1,0,"unknown","yes"
68,"retired","divorced","secondary","no",4189,"no","no","telephone",14,"jul",897,2,-1,0,"unknown","yes"
32,"management","single","tertiary","no",2536,"yes","no","cellular",26,"aug",958,6,-1,0,"unknown","yes"
49,"technician","married","tertiary","no",1235,"no","no","cellular",13,"aug",354,3,-1,0,"unknown","yes"
78,"retired","divorced","primary","no",229,"no","no","telephone",22,"oct",97,1,-1,0,"unknown","yes"
32,"blue-collar","married","secondary","no",2089,"yes","no","cellular",14,"nov",132,1,-1,0,"unknown","yes"
33,"management","married","secondary","no",3935,"yes","no","cellular",6,"may",765,1,342,2,"failure","yes"
61,"admin.","married","unknown","no",4629,"yes","no","cellular",27,"jan",181,1,92,1,"success","yes"
45,"blue-collar","divorced","primary","no",844,"no","no","unknown",5,"jun",1018,3,-1,0,"unknown","yes"
34,"technician","married","tertiary","no",1539,"yes","no","cellular",15,"jun",441,1,56,1,"other","yes"
37,"management","married","tertiary","no",0,"no","no","cellular",16,"jul",268,2,182,3,"success","yes"
27,"admin.","divorced","secondary","no",451,"yes","no","cellular",16,"jul",652,1,-1,0,"unknown","yes"
52,"services","married","secondary","no",657,"no","no","telephone",7,"jul",398,2,460,2,"failure","yes"
37,"management","married","tertiary","no",1315,"no","no","cellular",30,"jun",224,1,-1,0,"unknown","yes"
27,"services","single","secondary","no",-195,"yes","no","cellular",18,"may",391,1,-1,0,"unknown","yes"
31,"unemployed","single","primary","no",406,"no","no","cellular",4,"feb",736,1,-1,0,"unknown","yes"
56,"unemployed","married","primary","no",3391,"no","no","cellular",21,"apr",243,1,-1,0,"unknown","yes"
21,"student","single","secondary","no",2488,"no","no","cellular",30,"jun",258,6,169,3,"success","yes"
25,"student","single","secondary","no",331,"no","no","telephone",26,"aug",170,4,-1,0,"unknown","yes"
25,"technician","single","secondary","no",505,"no","yes","cellular",17,"nov",386,2,-1,0,"unknown","yes"
34,"self-employed","single","tertiary","no",462,"no","no","cellular",21,"aug",1877,3,-1,0,"unknown","yes"
77,"retired","divorced","tertiary","no",4659,"no","no","cellular",14,"apr",161,1,-1,0,"unknown","yes"
52,"management","married","tertiary","no",-970,"yes","no","cellular",4,"feb",489,1,-1,0,"unknown","yes"
55,"admin.","married","secondary","no",602,"no","no","cellular",1,"jun",324,3,90,2,"success","yes"
28,"management","single","tertiary","no",80,"no","no","cellular",20,"oct",676,2,146,2,"failure","yes"
56,"retired","married","secondary","no",-1206,"yes","no","cellular",15,"jun",382,2,-1,0,"unknown","yes"
75,"retired","married","secondary","no",3771,"no","no","telephone",15,"apr",185,1,181,2,"success","yes"
35,"technician","single","tertiary","no",2658,"yes","no","cellular",19,"aug",768,2,141,3,"failure","yes"
29,"blue-collar","single","tertiary","no",455,"no","no","telephone",21,"apr",403,1,-1,0,"unknown","yes"
42,"management","married","tertiary","no",372,"yes","no","cellular",3,"aug",654,2,-1,0,"unknown","yes"
29,"blue-collar","single","secondary","no",482,"no","yes","cellular",10,"jul",1097,3,-1,0,"unknown","yes"
24,"blue-collar","single","secondary","no",174,"yes","yes","cellular",18,"may",487,1,-1,0,"unknown","yes"
34,"admin.","married","tertiary","no",69,"no","yes","cellular",4,"aug",120,3,1,6,"success","yes"
50,"blue-collar","married","primary","no",4108,"yes","no","cellular",7,"aug",526,2,-1,0,"unknown","yes"
49,"entrepreneur","divorced","unknown","yes",-701,"yes","no","cellular",30,"jul",988,2,-1,0,"unknown","yes"
45,"blue-collar","divorced","primary","no",-311,"yes","no","unknown",23,"may",1030,1,-1,0,"unknown","yes"
38,"entrepreneur","married","secondary","no",593,"yes","yes","cellular",24,"jul",1484,24,-1,0,"unknown","yes"
32,"blue-collar","married","secondary","no",759,"yes","no","cellular",9,"apr",317,5,-1,0,"unknown","yes"
49,"entrepreneur","married","secondary","no",687,"yes","no","cellular",17,"apr",772,1,-1,0,"unknown","yes"
25,"admin.","single","tertiary","no",760,"yes","no","cellular",27,"may",223,3,89,2,"failure","yes"
35,"entrepreneur","married","secondary","no",2971,"no","no","cellular",4,"may",429,4,164,2,"failure","yes"
38,"management","married","tertiary","no",1199,"no","no","cellular",4,"aug",178,1,1,1,"success","yes"
35,"entrepreneur","single","tertiary","no",145,"yes","no","cellular",18,"jul",799,2,-1,0,"unknown","yes"
35,"unemployed","married","secondary","no",978,"no","no","cellular",29,"dec",1370,3,209,3,"success","yes"
32,"services","married","primary","no",228,"yes","no","cellular",21,"jul",1017,6,-1,0,"unknown","yes"
30,"management","single","tertiary","no",424,"no","no","cellular",16,"apr",298,4,-1,0,"unknown","yes"
55,"management","married","primary","no",2587,"no","no","cellular",4,"sep",328,2,94,2,"success","yes"
48,"admin.","divorced","secondary","no",4099,"no","no","cellular",2,"apr",397,2,-1,0,"unknown","yes"
60,"technician","single","primary","no",11262,"no","no","cellular",26,"aug",323,1,-1,0,"unknown","yes"
37,"management","married","tertiary","no",393,"yes","no","cellular",14,"may",567,3,275,4,"failure","yes"
59,"retired","married","tertiary","no",9676,"no","no","telephone",27,"mar",234,2,-1,0,"unknown","yes"
28,"blue-collar","single","secondary","no",517,"no","yes","cellular",8,"jul",681,1,-1,0,"unknown","yes"
54,"admin.","married","secondary","no",0,"no","no","cellular",28,"jan",161,1,98,2,"failure","yes"
75,"retired","divorced","tertiary","no",3810,"yes","no","cellular",16,"nov",262,1,183,1,"failure","yes"
49,"management","divorced","tertiary","no",755,"no","no","cellular",31,"jul",1212,4,-1,0,"unknown","yes"
30,"management","married","tertiary","no",1221,"yes","no","telephone",25,"jul",279,4,-1,0,"unknown","yes"
