,Date,Close,High,Low,Open,Volume
1,11/3/2023,"5,489.05","5,489.05","5,313.33","5,313.33",0
2,10/31/2023,"5,308.38","5,587.68","5,286.87","5,535.75",0
3,9/30/2023,"5,540.71","5,745.08","5,496.74","5,688.62",0
4,8/31/2023,"5,662.23","5,958.25","5,538.90","5,958.25",0
5,7/31/2023,"5,976.82","5,976.82","5,603.54","5,715.15",0
6,6/30/2023,"5,627.42","5,804.62","5,438.83","5,438.83",0
7,5/31/2023,"5,419.57","5,560.35","5,419.57","5,487.51",0
8,4/30/2023,"5,488.30","5,619.70","5,419.62","5,524.84",0
9,3/31/2023,"5,529.55","5,543.82","5,267.06","5,482.91",0
10,2/28/2023,"5,383.34","5,782.88","5,383.34","5,764.24",0
11,1/31/2023,"5,710.92","5,811.43","5,337.20","5,337.20",0
12,12/31/2022,"5,338.48","5,476.31","5,300.26","5,441.02",0
13,11/30/2022,"5,399.64","5,399.64","4,829.50","4,860.57",0
14,10/31/2022,"4,759.05","5,065.56","4,730.24","4,880.32",0
15,9/30/2022,"4,880.01","5,437.10","4,861.28","5,396.50",0
16,8/31/2022,"5,486.48","5,588.22","5,390.36","5,445.58",0
17,7/31/2022,"5,430.05","5,440.98","5,229.16","5,368.99",0
18,6/30/2022,"5,411.10","5,792.42","5,360.93","5,780.02",0
19,5/31/2022,"5,824.41","5,824.41","5,345.16","5,789.07",0
20,4/30/2022,"5,812.85","6,220.01","5,649.81","6,138.28",0
21,3/31/2022,"6,120.81","6,253.67","5,613.63","6,253.67",0
22,2/28/2022,"6,221.34","6,597.68","6,122.72","6,387.62",0
23,1/31/2022,"6,360.16","6,663.77","6,280.32","6,513.95",0
24,12/31/2021,"6,451.32","6,563.48","6,269.56","6,432.32",0
25,11/30/2021,"6,359.56","6,750.14","6,359.56","6,596.30",0
26,10/31/2021,"6,604.19","6,775.18","6,410.23","6,519.78",0
27,9/30/2021,"6,553.94","6,877.76","6,545.78","6,806.43",0
28,8/31/2021,"6,785.42","6,785.42","6,339.10","6,698.25",0
