,Date,Close,High,Low,Open,Volume
1,11/22/2024,"4,971.79","5,000.76","4,887.04","4,887.04",0
2,10/31/2024,"4,889.59","5,009.16","4,889.59","5,009.16",0
3,9/30/2024,"5,019.51","5,031.40","4,850.30","4,917.74",0
4,8/31/2024,"4,919.54","4,919.54","4,664.06","4,786.63",0
5,7/31/2024,"4,811.89","4,819.35","4,678.18","4,678.18",0
6,6/30/2024,"4,692.28","4,708.75","4,664.28","4,670.40",0
7,5/31/2024,"4,652.56","4,706.53","4,531.73","4,531.73",0
8,4/30/2024,"4,533.00","4,654.06","4,492.46","4,654.06",0
9,3/31/2024,"4,679.88","4,679.88","4,590.72","4,597.81",0
10,2/29/2024,"4,570.94","4,570.94","4,474.10","4,521.69",0
11,1/31/2024,"4,497.95","4,509.33","4,412.31","4,504.20",0
12,12/31/2023,"4,503.71","4,513.43","4,310.82","4,323.81",0
13,11/30/2023,"4,290.17","4,290.17","4,029.65","4,029.65",0
14,10/31/2023,"3,995.68","4,132.96","3,975.14","4,079.21",0
15,9/30/2023,"4,112.96","4,262.26","4,097.59","4,257.98",0
16,8/31/2023,"4,257.68","4,332.61","4,168.31","4,332.61",0
17,7/31/2023,"4,354.35","4,354.35","4,197.56","4,260.64",0
18,6/30/2023,"4,252.68","4,268.60","4,140.34","4,140.34",0
19,5/31/2023,"4,114.05","4,174.42","4,094.89","4,171.24",0
20,4/30/2023,"4,187.70","4,190.53","4,141.26","4,165.16",0
21,3/31/2023,"4,149.76","4,149.76","4,016.93","4,068.60",0
22,2/28/2023,"4,077.36","4,261.79","4,068.02","4,231.34",0
23,1/31/2023,"4,195.87","4,199.38","3,981.41","3,981.41",0
24,12/31/2022,"3,977.70","4,101.47","3,953.97","4,101.47",0
25,11/30/2022,"4,064.29","4,064.29","3,761.70","3,829.10",0
26,10/31/2022,"3,814.71","3,827.75","3,670.07","3,744.70",0
27,9/30/2022,"3,691.19","4,051.29","3,691.19","3,963.40",0
28,8/31/2022,"3,998.65","4,201.94","3,998.65","4,132.95",0
29,7/31/2022,"4,124.22","4,124.22","3,886.61","3,940.67",0
30,6/30/2022,"3,923.43","4,185.04","3,856.65","4,150.40",0
31,5/31/2022,"4,178.44","4,205.77","4,017.14","4,147.72",0
32,4/30/2022,"4,166.40","4,441.77","4,166.40","4,425.81",0
33,3/31/2022,"4,425.16","4,457.02","4,257.94","4,399.98",0
34,2/28/2022,"4,422.25","4,541.49","4,342.54","4,512.62",0
35,1/31/2022,"4,491.13","4,666.44","4,413.64","4,657.54",0
36,12/31/2021,"4,662.83","4,662.83","4,532.56","4,532.56",0
37,11/30/2021,"4,539.94","4,689.59","4,539.94","4,641.33",0
38,10/31/2021,"4,623.67","4,636.57","4,512.14","4,531.02",0
39,9/30/2021,"4,531.29","4,663.67","4,531.29","4,644.25",0
40,8/31/2021,"4,635.46","4,635.46","4,553.94","4,590.50",0
41,7/31/2021,"4,575.70","4,590.37","4,502.02","4,547.94",0
42,6/30/2021,"4,543.08","4,555.56","4,486.49","4,524.16",0
43,5/31/2021,"4,513.54","4,513.54","4,404.26","4,463.99",0
44,4/30/2021,"4,452.08","4,474.77","4,360.10","4,360.10",0
45,3/31/2021,"4,327.54","4,351.15","4,247.46","4,315.09",0
46,2/28/2021,"4,260.80","4,378.52","4,244.42","4,244.42",0
47,1/31/2021,"4,209.92","4,316.16","4,209.92","4,235.85",0
48,12/31/2020,"4,235.67","4,235.67","4,130.70","4,130.70",0
49,11/30/2020,"4,109.89","4,134.49","3,824.91","3,824.91",0
50,10/31/2020,"3,790.62","3,952.86","3,790.62","3,853.51",0
51,9/30/2020,"3,842.20","3,950.09","3,779.88","3,922.82",0
52,8/31/2020,"3,909.91","3,915.86","3,808.51","3,808.51",0
53,7/31/2020,"3,796.33","3,815.08","3,692.61","3,692.61",0
54,6/30/2020,"3,666.08","3,778.89","3,618.53","3,618.53",0
55,5/31/2020,"3,587.63","3,587.63","3,415.95","3,433.46",0
56,4/30/2020,"3,483.67","3,506.17","3,170.72","3,177.32",0
57,3/31/2020,"3,252.01","3,682.70","2,953.37","3,641.48",0
58,2/29/2020,"3,578.51","3,827.09","3,578.51","3,750.64",0
59,1/31/2020,"3,744.52","3,810.00","3,744.52","3,754.33",0
60,12/31/2019,"3,754.31","3,754.31","3,656.11","3,660.49",0
61,11/30/2019,"3,676.94","3,689.08","3,626.86","3,626.86",0
62,10/31/2019,"3,623.65","3,623.65","3,519.46","3,519.46",0
63,9/30/2019,"3,567.70","3,577.83","3,506.00","3,514.16",0
64,8/31/2019,"3,516.13","3,516.13","3,456.42","3,512.89",0
65,7/31/2019,"3,546.50","3,573.10","3,543.90","3,547.84",0
66,6/30/2019,"3,535.20","3,535.99","3,425.73","3,425.73",0
67,5/31/2019,"3,400.40","3,496.17","3,394.97","3,485.27",0
68,4/30/2019,"3,489.05","3,489.05","3,446.98","3,446.98",0
69,3/31/2019,"3,415.47","3,434.74","3,353.36","3,392.21",0
70,2/28/2019,"3,392.91","3,394.30","3,323.06","3,326.50",0
71,1/31/2019,"3,327.26","3,327.26","3,132.08","3,154.27",0
72,12/31/2018,"3,127.92","3,296.02","3,065.43","3,296.02",0
73,11/30/2018,"3,263.81","3,288.25","3,208.12","3,225.19",0
74,10/31/2018,"3,207.70","3,383.34","3,188.95","3,383.34",0
75,9/30/2018,"3,384.61","3,397.57","3,351.55","3,384.43",0
76,8/31/2018,"3,388.18","3,399.74","3,328.41","3,353.03",0
77,7/31/2018,"3,358.78","3,364.02","3,293.49","3,293.49",0
78,6/30/2018,"3,289.63","3,349.97","3,287.97","3,318.14",0
79,5/31/2018,"3,306.33","3,327.02","3,267.98","3,282.91",0
80,4/30/2018,"3,286.30","3,325.53","3,255.62","3,255.62",0
81,3/31/2018,"3,282.91","3,351.65","3,261.96","3,286.45",0
82,2/28/2018,"3,304.11","3,398.02","3,234.58","3,398.02",0
83,1/31/2018,"3,401.79","3,439.08","3,324.09","3,324.09",0
84,12/31/2017,"3,313.83","3,313.83","3,259.27","3,272.27",0
85,11/30/2017,"3,276.08","3,276.08","3,227.69","3,236.68",0
86,10/31/2017,"3,227.60","3,231.19","3,198.14","3,198.14",0
87,9/30/2017,"3,184.90","3,190.51","3,153.05","3,157.83",0
88,8/31/2017,"3,155.82","3,155.82","3,117.39","3,149.18",0
89,7/31/2017,"3,142.40","3,142.40","3,075.66","3,091.29",0
90,6/30/2017,"3,087.59","3,106.17","3,087.59","3,088.94",0
91,5/31/2017,"3,075.83","3,077.33","3,040.05","3,042.51",0
92,4/30/2017,"3,045.78","3,045.97","3,004.87","3,008.98",0
93,3/31/2017,"3,009.26","3,012.91","2,968.69","2,994.43",0
94,2/28/2017,"3,000.41","3,000.41","2,934.26","2,934.26",0
95,1/31/2017,"2,931.85","2,944.09","2,889.31","2,889.31",0
96,12/31/2016,"2,888.34","2,906.88","2,843.60","2,843.60",0
97,11/30/2016,"2,850.93","2,856.17","2,805.42","2,826.69",0
98,10/31/2016,"2,835.36","2,874.34","2,832.37","2,874.34",0
99,9/30/2016,"2,877.47","2,900.12","2,832.08","2,868.06",0
100,8/31/2016,"2,866.47","2,884.48","2,841.36","2,856.29",0
101,7/31/2016,"2,860.54","2,860.54","2,777.41","2,791.62",0
102,6/30/2016,"2,782.78","2,806.21","2,698.62","2,762.15",0
103,5/31/2016,"2,759.65","2,760.02","2,707.20","2,755.43",0
104,4/30/2016,"2,751.62","2,763.71","2,692.28","2,712.83",0
105,3/31/2016,"2,717.59","2,717.59","2,613.24","2,613.24",0
106,2/29/2016,"2,588.28","2,593.54","2,505.40","2,576.57",0
107,1/31/2016,"2,575.94","2,660.38","2,501.21","2,660.38",0
108,12/31/2015,"2,660.34","2,715.87","2,631.70","2,715.87",0
109,11/30/2015,"2,697.64","2,724.40","2,654.76","2,721.52",0
110,10/31/2015,"2,709.00","2,720.69","2,604.38","2,604.38",0
111,9/30/2015,"2,599.56","2,661.40","2,572.57","2,607.91",0
112,8/31/2015,"2,648.42","2,744.76","2,583.94","2,741.07",0
113,7/31/2015,"2,746.87","2,764.41","2,712.80","2,744.41",0
114,6/30/2015,"2,740.13","2,787.59","2,735.90","2,776.87",0
115,5/31/2015,"2,780.78","2,808.69","2,769.89","2,788.79",0
116,4/30/2015,"2,782.89","2,806.21","2,749.02","2,749.02",0
117,3/31/2015,"2,746.07","2,771.28","2,702.69","2,766.84",0
118,2/28/2015,"2,767.40","2,772.88","2,705.27","2,705.27",0
119,1/31/2015,"2,688.52","2,717.76","2,666.89","2,708.88",0
120,12/31/2014,"2,708.87","2,727.23","2,655.42","2,719.85",0
121,11/30/2014,"2,732.59","2,743.55","2,697.61","2,700.36",0
122,10/31/2014,"2,707.05","2,707.05","2,610.64","2,663.99",0
123,9/30/2014,"2,677.59","2,747.68","2,677.59","2,743.63",0
124,8/31/2014,"2,749.12","2,749.12","2,679.26","2,690.19",0
125,7/31/2014,"2,694.19","2,742.49","2,694.19","2,739.46",0
126,6/30/2014,"2,732.04","2,732.04","2,686.68","2,689.28",0
127,5/31/2014,"2,690.07","2,691.40","2,649.00","2,653.97",0
128,4/30/2014,"2,651.54","2,651.54","2,610.08","2,643.86",0
129,3/31/2014,"2,635.15","2,636.67","2,606.16","2,613.37",0
130,2/28/2014,"2,625.47","2,625.47","2,518.44","2,519.06",0
131,1/31/2014,"2,544.73","2,590.79","2,539.60","2,568.19",0
132,12/31/2013,"2,582.62","2,582.62","2,524.06","2,549.06",0
133,11/30/2013,"2,557.38","2,557.38","2,512.83","2,525.46",0
134,10/31/2013,"2,531.60","2,544.80","2,451.35","2,478.90",0
135,9/30/2013,"2,468.63","2,491.19","2,401.75","2,401.75",0
136,8/31/2013,"2,397.05","2,461.24","2,397.05","2,452.98",0
137,7/31/2013,"2,438.89","2,454.52","2,370.84","2,372.77",0
138,6/30/2013,"2,362.47","2,417.75","2,321.12","2,407.19",0
139,5/31/2013,"2,403.85","2,450.24","2,397.10","2,397.10",0
140,4/30/2013,"2,409.54","2,409.54","2,346.22","2,368.84",0
141,3/31/2013,"2,375.18","2,375.18","2,332.05","2,332.05",0
142,2/28/2013,"2,333.48","2,347.38","2,314.29","2,336.67",0
143,1/31/2013,"2,325.45","2,329.13","2,283.94","2,287.87",0
144,12/31/2012,"2,259.36","2,270.38","2,231.55","2,231.55",0
145,11/30/2012,"2,233.66","2,233.66","2,172.28","2,232.61",0
146,10/31/2012,"2,219.90","2,253.12","2,214.06","2,234.78",0
147,9/30/2012,"2,229.82","2,259.17","2,184.48","2,186.74",0
148,8/31/2012,"2,187.26","2,192.05","2,136.10","2,148.49",0
149,7/31/2012,"2,153.96","2,157.24","2,107.95","2,134.36",0
150,6/30/2012,"2,126.48","2,126.48","2,041.36","2,045.53",0
151,5/31/2012,"2,071.06","2,179.01","2,062.39","2,179.01",0
152,4/30/2012,"2,175.68","2,189.64","2,131.29","2,189.64",0
153,3/31/2012,"2,176.85","2,185.95","2,130.14","2,167.45",0
154,2/29/2012,"2,163.24","2,168.80","2,110.94","2,110.94",0
155,1/31/2012,"2,094.47","2,097.69","2,030.24","2,038.07",0
156,12/31/2011,"2,016.50","2,024.43","1,966.28","2,007.35",0
157,11/30/2011,"2,007.31","2,044.45","1,924.52","1,997.06",0
158,10/31/2011,"2,030.65","2,059.63","1,879.43","1,879.43",0
159,9/30/2011,"1,907.72","2,007.04","1,907.72","2,007.04",0
160,8/31/2011,"2,016.75","2,084.40","1,924.56","2,084.40",0
161,7/31/2011,"2,088.03","2,127.97","2,084.82","2,113.35",0
162,6/30/2011,"2,099.16","2,103.06","2,050.07","2,103.06",0
163,5/31/2011,"2,123.16","2,137.62","2,081.19","2,137.62",0
164,4/30/2011,"2,138.22","2,138.22","2,071.10","2,089.27",0
165,3/31/2011,"2,082.48","2,082.48","2,011.68","2,057.75",0
166,2/28/2011,"2,071.09","2,076.24","2,042.51","2,045.96",0
167,1/31/2011,"2,026.52","2,038.59","2,006.22","2,014.31",0
168,12/31/2010,"2,004.63","2,004.63","1,944.95","1,944.95",0
169,11/30/2010,"1,924.20","1,983.77","1,924.20","1,939.08",0
170,10/31/2010,"1,937.30","1,942.53","1,886.11","1,893.74",0
171,9/30/2010,"1,888.33","1,891.18","1,811.77","1,811.77",0
172,8/31/2010,"1,783.77","1,851.01","1,779.88","1,843.45",0
173,7/31/2010,"1,819.79","1,824.55","1,728.11","1,731.28",0
174,6/30/2010,"1,735.79","1,807.06","1,735.19","1,756.12",0
175,5/31/2010,"1,768.33","1,873.28","1,744.95","1,873.28",0
176,4/30/2010,"1,865.47","1,888.15","1,851.94","1,851.94",0
177,3/31/2010,"1,841.84","1,846.55","1,786.97","1,786.97",0
178,2/28/2010,"1,777.02","1,777.30","1,728.17","1,761.34",0
179,1/31/2010,"1,749.71","1,825.46","1,749.71","1,804.09",0
180,12/31/2009,"1,784.54","1,793.72","1,766.25","1,783.78",0
181,11/30/2009,"1,767.13","1,784.67","1,713.46","1,713.51",0
182,10/31/2009,"1,709.90","1,773.30","1,697.79","1,707.41",0
183,9/30/2009,"1,729.81","1,741.77","1,651.73","1,654.08",0
184,8/31/2009,"1,675.15","1,683.44","1,626.07","1,649.13",0
185,7/31/2009,"1,632.56","1,632.56","1,509.63","1,556.69",0
186,6/30/2009,"1,547.71","1,579.35","1,516.36","1,572.16",0
187,5/31/2009,"1,547.66","1,547.66","1,475.34","1,475.34",0
188,4/30/2009,"1,470.66","1,470.66","1,390.04","1,390.04",0
189,3/31/2009,"1,376.44","1,414.05","1,246.82","1,270.61",0
190,2/28/2009,"1,304.93","1,430.70","1,304.93","1,385.31",0
191,1/31/2009,"1,388.50","1,496.96","1,375.77","1,488.05",0
192,12/31/2008,"1,465.44","1,465.44","1,366.26","1,366.26",0
193,11/30/2008,"1,418.29","1,498.45","1,308.09","1,461.34",0
194,10/31/2008,"1,456.01","1,656.59","1,356.10","1,656.59",0
